TENT_ID,Name,Species ID,Species (Binomial),IUCN Category,Type,Not Found in Existing mnWHA Sites
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",7859,Epinephelus marginatus,VU,Marine Fish,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",7861,Hyporthodus niveatus,VU,Marine Fish,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",8005,Eretmochelys imbricata,CR,Reptiles,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",10030,Hexanchus griseus,NT,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",11200,Lamna nasus,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",18596,Pseudorca crassidens,NT,Marine Mammals,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",39352,Galeorhinus galeus,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",39359,Mustelus canis,NT,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",39388,Sphyrna zygaena,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",41741,Carcharhinus brachyurus,NT,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",41755,Physeter macrocephalus,VU,Marine Mammals,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",41823,Heptranchias perlo,NT,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",60219,Carcharhinus signatus,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",63128,Mustelus mento,NT,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",63153,Gymnura altavela,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",91209505,Squalus acanthias,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",126710128,Mobula hypostoma,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,12144,Litoria brevipalmata,EN,Amphibians,TRUE
5,Great Sandy World Heritage Area,41032,Litoria cooloolensis,EN,Amphibians,TRUE
5,Great Sandy World Heritage Area,41033,Litoria freycineti,VU,Amphibians,TRUE
5,Great Sandy World Heritage Area,41037,Litoria olongburensis,VU,Amphibians,TRUE
5,Great Sandy World Heritage Area,520,Adelotus brevis,NT,Amphibians,FALSE
5,Great Sandy World Heritage Area,2475,Balaenoptera borealis,EN,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,2477,Balaenoptera musculus,EN,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,2478,Balaenoptera physalus,VU,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,2480,Balaenoptera bonaerensis,NT,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,3851,Carcharhinus limbatus,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,3852,Carcharhinus obscurus,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,3853,Carcharhinus plumbeus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,3854,Carcharias taurus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,3897,Caretta caretta,VU,Reptiles,FALSE
5,Great Sandy World Heritage Area,4615,Chelonia mydas,EN,Reptiles,FALSE
5,Great Sandy World Heritage Area,6229,Dalatias licha,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,6494,Dermochelys coriacea,VU,Reptiles,FALSE
5,Great Sandy World Heritage Area,6909,Dugong dugon,VU,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,8005,Eretmochelys imbricata,CR,Reptiles,FALSE
5,Great Sandy World Heritage Area,10030,Hexanchus griseus,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,11200,Lamna nasus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,11534,Lepidochelys olivacea,VU,Reptiles,FALSE
5,Great Sandy World Heritage Area,18581,Pseudophryne bibronii,NT,Amphibians,FALSE
5,Great Sandy World Heritage Area,18596,Pseudorca crassidens,NT,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,21856,Thunnus alalunga,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,21857,Thunnus albacares,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,21859,Thunnus obesus,VU,Marine Fish,FALSE
5,Great Sandy World Heritage Area,23141,Xeromys myoides,VU,Terrestrial Mammals,FALSE
5,Great Sandy World Heritage Area,39335,Brachaelurus colcloughi,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39352,Galeorhinus galeus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39365,Carcharhinus amblyrhynchos,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39368,Carcharhinus brevipinna,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39370,Carcharhinus falciformis,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39372,Carcharhinus leucas,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39374,Carcharhinus longimanus,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39378,Galeocerdo cuvier,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39384,Triaenodon obesus,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39385,Sphyrna lewini,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39386,Sphyrna mokarran,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39389,Anoxypristis cuspidata,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39393,Pristis zijsron,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39412,Taeniura lymma,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,39415,Aetobatus narinari,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,40488,Ornithorhynchus anatinus,NT,Terrestrial Mammals,FALSE
5,Great Sandy World Heritage Area,40797,Carcharhinus amblyrhynchoides,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41045,Crinia tinnula,VU,Amphibians,FALSE
5,Great Sandy World Heritage Area,41714,Tursiops aduncus,NT,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,41755,Physeter macrocephalus,VU,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,41797,Hemitrygon fluviorum,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41810,Eusphyra blochii,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41823,Heptranchias perlo,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41836,Negaprion acutidens,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41848,Rhina ancylostoma,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41853,Rhynchobatus australiae,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41872,Chiloscyllium punctatum,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41874,Hemipristis elongata,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,41878,Stegostoma tigrinum,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,42707,Cephaloscyllium variegatum,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,42727,Squalus grahami,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,44673,Epinephelus fuscoguttatus,VU,Marine Fish,FALSE
5,Great Sandy World Heritage Area,60124,Myliobatis hamlyni,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,60199,Mobula tarapacana,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,60225,Isurus paucus,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,61337,Epinephelus daemelii,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,61339,Epinephelus polyphekadion,VU,Marine Fish,FALSE
5,Great Sandy World Heritage Area,63571,Bolbometopon muricatum,VU,Marine Fish,FALSE
5,Great Sandy World Heritage Area,132795,Hyporthodus ergastularius,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,161597,Alopias pelagicus,EN,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,161615,Pateobatis fai,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,161635,Deania quadrispinosa,NT,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,161692,Himantura uarnak,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,161696,Alopias superciliosus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,165712,Chaetodon trifascialis,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,165717,Chaetodon rainfordi,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,170309,Kajikia audax,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,170316,Scomberomorus commerson,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,170330,Scomberomorus munroi,NT,Marine Fish,FALSE
5,Great Sandy World Heritage Area,180238,Stichopus herrmanni,VU,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180257,Holothuria scabra,EN,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180265,Actinopyga miliaris,VU,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180275,Holothuria lessoni,EN,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180337,Actinopyga mauritiana,VU,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180440,Holothuria whitmaei,EN,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180481,Thelenota ananas,EN,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,180518,Actinopyga echinites,VU,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,195459,Mobula alfredi,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,198921,Mobula birostris,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,200715,Holothuria fuscogilva,VU,Sea Cucumbers,FALSE
5,Great Sandy World Heritage Area,42566169,Aetobatus ocellatus,VU,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,82031667,Sousa sahulensis,VU,Marine Mammals,FALSE
5,Great Sandy World Heritage Area,104061138,Glaucostegus typus,CR,"Sharks, Rays, Chimaeras",FALSE
5,Great Sandy World Heritage Area,110847130,Mobula mobular,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),2475,Balaenoptera borealis,EN,Marine Mammals,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),2477,Balaenoptera musculus,EN,Marine Mammals,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),2480,Balaenoptera bonaerensis,NT,Marine Mammals,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),3852,Carcharhinus obscurus,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),3897,Caretta caretta,VU,Reptiles,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),4615,Chelonia mydas,EN,Reptiles,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),6494,Dermochelys coriacea,VU,Reptiles,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),8005,Eretmochelys imbricata,CR,Reptiles,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),11534,Lepidochelys olivacea,VU,Reptiles,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),18175,Pristis pectinata,CR,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),18596,Pseudorca crassidens,NT,Marine Mammals,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),21856,Thunnus alalunga,NT,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),21857,Thunnus albacares,NT,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),21859,Thunnus obesus,VU,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39368,Carcharhinus brevipinna,NT,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39370,Carcharhinus falciformis,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39374,Carcharhinus longimanus,CR,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39378,Galeocerdo cuvier,NT,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39388,Sphyrna zygaena,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),39415,Aetobatus narinari,NT,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),41755,Physeter macrocephalus,VU,Marine Mammals,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),41823,Heptranchias perlo,NT,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),41876,Odontaspis ferox,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),44683,Mycteroperca venenosa,NT,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),60199,Mobula tarapacana,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),60217,Carcharhinus perezi,NT,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),60225,Isurus paucus,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),64410,Mycteroperca interstitialis,VU,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),132724,Mycteroperca bonaci,NT,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),161696,Alopias superciliosus,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),170322,Kajikia albida,VU,Marine Fish,FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),198921,Mobula birostris,VU,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),18584848,Pristis pristis,CR,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),110847130,Mobula mobular,EN,"Sharks, Rays, Chimaeras",FALSE
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),126710128,Mobula hypostoma,EN,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,39328,Squatina californica,NT,"Sharks, Rays, Chimaeras",TRUE
50,Gwaii Haanas,2475,Balaenoptera borealis,EN,Marine Mammals,FALSE
50,Gwaii Haanas,2477,Balaenoptera musculus,EN,Marine Mammals,FALSE
50,Gwaii Haanas,2478,Balaenoptera physalus,VU,Marine Mammals,FALSE
50,Gwaii Haanas,3590,Callorhinus ursinus,VU,Marine Mammals,FALSE
50,Gwaii Haanas,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,3897,Caretta caretta,VU,Reptiles,FALSE
50,Gwaii Haanas,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,6494,Dermochelys coriacea,VU,Reptiles,FALSE
50,Gwaii Haanas,8239,Eumetopias jubatus,NT,Marine Mammals,FALSE
50,Gwaii Haanas,10030,Hexanchus griseus,NT,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,11534,Lepidochelys olivacea,VU,Reptiles,FALSE
50,Gwaii Haanas,18596,Pseudorca crassidens,NT,Marine Mammals,FALSE
50,Gwaii Haanas,21856,Thunnus alalunga,NT,Marine Fish,FALSE
50,Gwaii Haanas,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,39352,Galeorhinus galeus,VU,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras",FALSE
50,Gwaii Haanas,41755,Physeter macrocephalus,VU,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,39328,Squatina californica,NT,"Sharks, Rays, Chimaeras",TRUE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,2475,Balaenoptera borealis,EN,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,2477,Balaenoptera musculus,EN,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,2478,Balaenoptera physalus,VU,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,3590,Callorhinus ursinus,VU,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras",FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,3897,Caretta caretta,VU,Reptiles,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras",FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,6494,Dermochelys coriacea,VU,Reptiles,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,8239,Eumetopias jubatus,NT,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,10030,Hexanchus griseus,NT,"Sharks, Rays, Chimaeras",FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,11534,Lepidochelys olivacea,VU,Reptiles,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,18596,Pseudorca crassidens,NT,Marine Mammals,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,21856,Thunnus alalunga,NT,Marine Fish,FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras",FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,39352,Galeorhinus galeus,VU,"Sharks, Rays, Chimaeras",FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras",FALSE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,41755,Physeter macrocephalus,VU,Marine Mammals,FALSE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,22823,Ursus maritimus,VU,Terrestrial Mammals,TRUE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,6204,Cystophora cristata,VU,Marine Mammals,FALSE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,15106,Odobenus rosmarus,VU,Marine Mammals,FALSE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,41755,Physeter macrocephalus,VU,Marine Mammals,FALSE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,60213,Somniosus microcephalus,NT,"Sharks, Rays, Chimaeras",FALSE
56,Juan Fernández Archipelago National Park,63147,Zearaja chilensis,VU,"Sharks, Rays, Chimaeras",TRUE
56,Juan Fernández Archipelago National Park,180356,Holothuria platei,VU,Sea Cucumbers,TRUE
56,Juan Fernández Archipelago National Park,2475,Balaenoptera borealis,EN,Marine Mammals,FALSE
56,Juan Fernández Archipelago National Park,2477,Balaenoptera musculus,EN,Marine Mammals,FALSE
56,Juan Fernández Archipelago National Park,2478,Balaenoptera physalus,VU,Marine Mammals,FALSE
56,Juan Fernández Archipelago National Park,2480,Balaenoptera bonaerensis,NT,Marine Mammals,FALSE
56,Juan Fernández Archipelago National Park,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras",FALSE
56,Juan Fernández Archipelago National Park,3897,Caretta caretta,VU,Reptiles,FALSE
56,Juan Fernández Archipelago National Park,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras",FALSE
56,Juan Fernández Archipelago National Park,6494,Dermochelys coriacea,VU,Reptiles,FALSE
